lab,noun,a laboratory.
labarum,noun,"the imperial standard of Constantine the Great, which bore Christian symbolic imagery fused with the military symbols of the Roman Empire."
labefaction,noun,deterioration or downfall.
label,noun,"a small piece of paper, fabric, plastic, or similar material attached to an object and giving information about it."
label,noun,"a classifying phrase or name applied to a person or thing, especially one that is inaccurate or restrictive."
label,verb,attach a label to (something).
labeled,verb,attach a label to (something).
labelers,,"a short word or phrase descriptive of a person, group, intellectual movement, etc. a word or phrase indicating that what follows belongs in a particular category or classification: The following <b>definition</b> has the label âArchit.â."
labeling,verb,attach a label to (something).
labelled,verb,attach a label to (something).
labeller,,"a short word or phrase descriptive of a person, group, intellectual movement, etc. a word or phrase indicating that what follows belongs in a particular category or classification: The following <b>definition</b> has the label âArchit.â."
labellers,,"a short word or phrase descriptive of a person, group, intellectual movement, etc. a word or phrase indicating that what follows belongs in a particular category or classification: The following <b>definition</b> has the label âArchit.â."
labelling,verb,attach a label to (something).
labels,noun,"a classifying phrase or name applied to a person or thing, especially one that is inaccurate or restrictive."
labels,noun,"a small piece of paper, fabric, plastic, or similar material attached to an object and giving information about it."
labially,,": uttered with the participation of one or both lips <the <b>labial</b> sounds \f\, \p\, and \Ã¼\&gt; 2. : of, relating to, or situated near the lips or labia. â laÂ·biÂ·alÂ·ly \-É-lÄ\ adverb. See <b>labial defined</b> for English-language learners."
labials,noun,a labial sound.
labiate,noun,"a plant of the mint family ( Labiatae ), with a distinctive two-lobed flower."
labile,adjective,liable to change; easily altered.
labyrinth,noun,a complicated irregular network of passages or paths in which it is difficult to find one's way; a maze.
labyrinthine,adjective,(of a network) like a labyrinth; irregular and twisting.
labyrinths,noun,a complicated irregular network of passages or paths in which it is difficult to find one's way; a maze.
labor,noun,"work, especially physical work."
labor,noun,the Labour Party.
laboratory,noun,"a room or building equipped for scientific experiments, research, or teaching, or for the manufacture of drugs or chemicals."
laboratorian,,"One who works in a laboratory; in the medical and allied health professions, one who examines or performs tests (or supervises such procedures) with various types of chemical and biologic materials, chiefly as an aid in the diagnosis, treatment, and control of disease, or as a basis for health and sanitation practices."
laboratories,noun,"a room or building equipped for scientific experiments, research, or teaching, or for the manufacture of drugs or chemicals."
labored,verb,work hard; make great effort.
labored,verb,have difficulty in doing something despite working hard.
labored,adjective,done with great effort and difficulty.
laboredly,,<b>Definition</b> of <b>LABORED</b> for Kids. : produced or done with effort or difficulty &lt;<b>labored</b> breathing&gt;
laborer,noun,a person doing unskilled manual work for wages.
laborers,noun,a person doing unskilled manual work for wages.
laboring,verb,work hard; make great effort.
laboring,verb,have difficulty in doing something despite working hard.
laboringly,verb,work hard; make great effort.
laboringly,verb,have difficulty in doing something despite working hard.
laborings,,"<b>Meaning</b> ""body of laborers considered as a class"" (usually contrasted to capitalists) is from 1839. Sense of ""physical exertions of childbirth"" is 1590s, earlier labour of birthe (early 15c.), a sense also found in Old French, and cf. French en travail ""in (childbirth) suffering"" (see travail)."
laborious,adjective,requiring considerable time and effort.
laboriously,,"requiring much work, exertion, or perseverance: a <b>laborious</b> undertaking. characterized by or requiring extreme care and much attention to detail: <b>laborious</b> research. characterized by or exhibiting excessive effort, dullness, and lack of spontaneity; labored:"
laboriousness,,Full <b>Definition</b> of <b>LABORIOUS</b>. 1. : devoted to labor : industrious. : involving or characterized by hard or toilsome effort : labored.
laborite,noun,a member or supporter of a Labour Party.
laborites,noun,a member or supporter of a Labour Party.
labors,noun,"work, especially physical work."
labors,noun,the Labour Party.
laborsaving,adjective,(of an appliance) designed to reduce the amount of work needed to do something.
labour,noun,"work, especially physical work."
labour,noun,the Labour Party.
labour,noun,the process of childbirth from the start of uterine contractions to delivery.
labour,verb,work hard; make great effort.
labour,verb,have difficulty in doing something despite working hard.
laboured,adjective,done with great effort and difficulty.
laboured,verb,work hard; make great effort.
laboured,verb,have difficulty in doing something despite working hard.
labourer,noun,a person doing unskilled manual work for wages.
labourers,noun,a person doing unskilled manual work for wages.
labouring,verb,work hard; make great effort.
labouring,verb,have difficulty in doing something despite working hard.
labourism,noun,the principles of a Labour Party or the labour movement.
labourite,noun,a member or supporter of a Labour Party.
labours,noun,the Labour Party.
labours,noun,"work, especially physical work."
labrador,noun,"a retriever of a breed that most typically has a black or yellow coat, widely used as a gun dog or as a guide for a blind person."
labradorite,noun,"a mineral of the plagioclase feldspar group, found in many igneous rocks."
labs,noun,a Labrador dog.
laburnum,noun,a small European tree which has hanging clusters of yellow flowers followed by slender pods containing poisonous seeds. The hard timber is sometimes used as an ebony substitute.
laburnums,noun,a small European tree which has hanging clusters of yellow flowers followed by slender pods containing poisonous seeds. The hard timber is sometimes used as an ebony substitute.
lac,noun,"a resinous substance secreted as a protective covering by the lac insect, used to make varnish, shellac, sealing wax, dyes, etc."
laccolith,noun,"a mass of igneous rock, typically lens-shaped, that has been intruded between rock strata causing uplift in the shape of a dome."
laccoliths,noun,"a mass of igneous rock, typically lens-shaped, that has been intruded between rock strata causing uplift in the shape of a dome."
lace,noun,"a fine open fabric of cotton or silk, made by looping, twisting, or knitting thread in patterns and used especially for trimming garments."
lace,noun,a cord or leather strip passed through eyelets or hooks on opposite sides of a shoe or garment and then pulled tight and fastened.
lace,verb,fasten or tighten (a shoe or garment) by tying the laces.
lace,verb,"entwine (things, especially fingers) together."
lace,verb,"add an ingredient, especially alcohol, to (a drink or dish) to enhance its flavour or strength."
laced,adjective,trimmed or fitted with lace or laces.
lacey,,Full <b>Definition</b> of <b>LACY</b>. : resembling or consisting of lace. See <b>lacy defined</b> for English-language learners.
lacerable,,Next Word in the <b>Dictionary</b>: lacerate (verb)Previous Word in the <b>Dictionary</b>: <b>lacerability</b>All Words Near: <b>lacerable</b>.
lacerate,verb,tear or make deep cuts in (flesh or skin).
lacerated,verb,tear or make deep cuts in (flesh or skin).
lacerates,verb,tear or make deep cuts in (flesh or skin).
lacerating,verb,tear or make deep cuts in (flesh or skin).
laceration,noun,a deep cut or tear in skin or flesh.
lacerations,noun,a deep cut or tear in skin or flesh.
lacerative,noun,a deep cut or tear in skin or flesh.
lacers,,Full <b>Definition</b> of LACE. 1. : a cord or string used for drawing together two edges (as of a garment or a shoe) 2. : an ornamental braid for trimming coats or uniforms.
laces,noun,a cord or leather strip passed through eyelets or hooks on opposite sides of a shoe or garment and then pulled tight and fastened.
laces,verb,fasten or tighten (a shoe or garment) by tying the laces.
laces,verb,"entwine (things, especially fingers) together."
laces,verb,"add an ingredient, especially alcohol, to (a drink or dish) to enhance its flavour or strength."
laces,noun,"a fine open fabric of cotton or silk, made by looping, twisting, or knitting thread in patterns and used especially for trimming garments."
lacewing,noun,a slender delicate insect with large clear membranous wings. Both the adults and larvae are typically predators of aphids.
lacewings,noun,a slender delicate insect with large clear membranous wings. Both the adults and larvae are typically predators of aphids.
lacework,noun,fabric or decorative items made of lace.
lachrymation,noun,the flow of tears.
lachrymator,noun,a substance that irritates the eyes and causes tears to flow.
lachrymatory,adjective,"relating to, causing, or containing tears."
lachrymose,adjective,tearful or given to weeping.
lacy,adjective,"made of, resembling, or trimmed with lace."
lacier,adjective,"made of, resembling, or trimmed with lace."
laciest,adjective,"made of, resembling, or trimmed with lace."
lacily,,<b>Definition</b> of <b>LACILY</b>. : in a lacy fashion or manner.
laciness,,<b>Definition</b> of <b>LACINESS</b>. : the quality or state of being lacy.
lacing,noun,the laced fastening of a shoe or garment.
lacings,noun,the laced fastening of a shoe or garment.
lack,noun,the state of being without or not having enough of something.
lack,verb,be without or deficient in.
lackaday,exclamation,"an expression of surprise, regret, or grief."
lackadaisical,adjective,lacking enthusiasm and determination; carelessly lazy.
lackadaisically,,"Full <b>Definition</b> of <b>LACKADAISICAL</b>. : lacking life, spirit, or zest : languid. â lackÂ·aÂ·daiÂ·siÂ·calÂ·ly \-k(É-)lÄ\ adverb. See <b>lackadaisical defined</b> for English-language learners."
lacked,verb,be without or deficient in.
lackey,noun,"a servant, especially a liveried footman or manservant."
lackey,verb,behave servilely towards; wait on as a lackey.
lackey,noun,"a brownish European moth of woods and hedgerows, the caterpillars of which live communally in a silken tent on the food tree."
lackeyed,verb,behave servilely towards; wait on as a lackey.
lackeying,verb,behave servilely towards; wait on as a lackey.
lackeys,noun,"a servant, especially a liveried footman or manservant."
lackeys,noun,"a brownish European moth of woods and hedgerows, the caterpillars of which live communally in a silken tent on the food tree."
lacking,adjective,not available or in short supply.
lacking,verb,be without or deficient in.
lackluster,adjective,"lacking in vitality, force, or conviction; uninspired or uninspiring."
lackluster,adjective,(of the hair or the eyes) not shining; dull.
lacklustre,adjective,"lacking in vitality, force, or conviction; uninspired or uninspiring."
lacklustre,adjective,(of the hair or the eyes) not shining; dull.
lacks,noun,the state of being without or not having enough of something.
lacks,verb,be without or deficient in.
laconic,adjective,"(of a person, speech, or style of writing) using very few words."
laconically,,Full <b>Definition</b> of <b>LACONIC</b>. : using or involving the use of a minimum of words : concise to the point of seeming rude or mysterious. â laÂ·conÂ·iÂ·calÂ·ly \-ni-k(É-)lÄ\ adverb. See <b>laconic defined</b> for English-language learners.
laconism,,<b>Definition</b> of <b>LACONISM</b>. 1. : brevity or terseness of expression or style. : a laconic expression.
lacquer,noun,"a liquid made of shellac dissolved in alcohol, or of synthetic substances, that dries to form a hard protective coating for wood, metal, etc."
lacquered,verb,coat with lacquer.
lacquerer,,Full <b>Definition</b> of <b>LACQUER</b>. 1. a : a spirit varnish (as shellac) b : any of various durable natural varnishes; especially : a varnish obtained from an Asian sumac (Rhus verniciflua) âcalled also Japanese <b>lacquer</b>. 2.
lacquering,verb,coat with lacquer.
lacquers,noun,"a liquid made of shellac dissolved in alcohol, or of synthetic substances, that dries to form a hard protective coating for wood, metal, etc."
lacrimation,noun,the flow of tears.
lacrimatory,adjective,"relating to, causing, or containing tears."
lacrosse,noun,"a team game, originally played by North American Indians, in which the ball is thrown, carried, and caught with a long-handled stick having a curved L-shaped or triangular frame at one end with a piece of shallow netting in the angle."
lacrosses,,"<b>Lacrosse</b> is a contact team sport played between two teams using a small rubber ball (62.8-64.77 mm, 140-147 g) and a long-handled stick called a crosse or <b>lacrosse</b> stick."
lactate,verb,(of a female mammal) secrete milk.
lactated,verb,(of a female mammal) secrete milk.
lactates,verb,(of a female mammal) secrete milk.
lactating,verb,(of a female mammal) secrete milk.
lactation,noun,the secretion of milk by the mammary glands.
lactational,,<b>Lactational</b> amenorrhea is the temporary postnatal infertility that occurs when a woman is amenorrheic (not menstruating) and fully breastfeeding.
lactationally,,<b>Lactational</b> amenorrhea is the temporary postnatal infertility that occurs when a woman is amenorrheic (not menstruating) and fully breastfeeding.
lactations,,"<b>Lactation</b> describes the secretion of milk from the mammary glands and the period of time that a mother lactates to feed her young. The process can occur with almost all post-pregnancy female mammals, although it predates mammals. In humans the process of feeding milk is also called breastfeeding or nursing."
lacteal,adjective,of milk.
lacteally,adjective,of milk.
lactic,adjective,relating to or obtained from milk.
lactobacilli,noun,a rod-shaped bacterium which produces lactic acid from the fermentation of carbohydrates.
lactobacillus,noun,a rod-shaped bacterium which produces lactic acid from the fermentation of carbohydrates.
lactoprotein,noun,the protein component of milk.
lactose,noun,a sugar present in milk. It is a disaccharide containing glucose and galactose units.
lactovegetarian,,"A <b>lacto vegetarian</b> (sometimes referred to as a lactarian; from the Latin root lact-, milk) diet is a vegetarian diet that includes dairy products such as milk, cheese, yogurt, butter, ghee, cream, and kefir, but excludes eggs."
lacuna,noun,an unfilled space; a gap.
lacunae,noun,an unfilled space; a gap.
lacunar,adjective,relating to a lacuna.
lacunary,,"In analysis, a <b>lacunary</b> function, also known as a <b>lacunary</b> series, is an analytic function that cannot be analytically continued anywhere outside the radius of convergence within which it is <b>defined</b> by a power series. The word <b>lacunary</b> is derived from lacuna (pl. lacunae), meaning gap, or vacancy."
lacunas,noun,an unfilled space; a gap.
ladanum,noun,"an alcoholic solution containing morphine, prepared from opium and formerly used as a narcotic painkiller."
ladanums,,"<b>ladanum</b> is a varnish or gluey coating found on the leaves of Cistus creticus, which grows in Crete. The Romance of Plant Life G. F. Scott Elliot. <b>ladanum</b>, ladâ²a-num, n. a resinous exudation from the leaves of a shrub growing round the Mediterranean. Chambers's Twentieth Century <b>Dictionary</b> (part 2 of 4: E-M) Various."
ladder,noun,"a piece of equipment consisting of a series of bars or steps between two upright lengths of wood, metal, or rope, used for climbing up or down something."
laddered,verb,(with reference to tights or stockings) develop or cause to develop a ladder.
laddering,verb,(with reference to tights or stockings) develop or cause to develop a ladder.
ladders,noun,"a piece of equipment consisting of a series of bars or steps between two upright lengths of wood, metal, or rope, used for climbing up or down something."
laddie,noun,a boy or young man (often as a form of address).
laddies,noun,a boy or young man (often as a form of address).
laddish,adjective,denoting or characteristic of a young man who behaves in a boisterously macho manner.
lade,verb,put cargo on board (a ship).
laded,verb,put cargo on board (a ship).
laden,adjective,heavily loaded or weighed down.
laden,verb,put cargo on board (a ship).
ladened,,<b>Laden</b> can be an adjective that describes the feeling of burden or stress from all that work.
ladens,,"<b>Laden</b> can be a verb that describes using a ladle or otherwise filling or loading something up, like a teacher who <b>ladens</b> students with homework. <b>Laden</b> can be an adjective that describes the feeling of burden or stress from all that work."
laders,noun,"a piece of equipment consisting of a series of bars or steps between two upright lengths of wood, metal, or rope, used for climbing up or down something."
lades,verb,put cargo on board (a ship).
lady,noun,a polite or formal way of referring to a woman.
lady,noun,a woman of good social position.
ladybird,noun,a small beetle with a domed back which is typically red or yellow with black spots. Both the adults and larvae are important predators of aphids.
ladybirds,noun,a small beetle with a domed back which is typically red or yellow with black spots. Both the adults and larvae are important predators of aphids.
ladykiller,noun,"an attractive, charming man who habitually seduces women."
ladylike,adjective,"appropriate for or typical of a well-bred, decorous woman or girl."
ladylove,noun,a female lover or sweetheart.
ladyloves,noun,a female lover or sweetheart.
lading,noun,the action of loading a ship with cargo.
ladings,noun,the action of loading a ship with cargo.
ladyship,noun,a respectful form of reference or address to a woman who has a title.
ladyships,noun,a respectful form of reference or address to a woman who has a title.
ladle,verb,"serve (soup, stew, or sauce) with a ladle."
ladle,noun,"a large long-handled spoon with a cup-shaped bowl, used for serving soup or sauce."
ladled,verb,"serve (soup, stew, or sauce) with a ladle."
ladler,,"a long-handled spoon having a deep bowl for serving or transferring liquids: a soup ladle. a large bucket-shaped container for transferring molten metal. verb. (transitive) to lift or serve out with or as if with a ladle. ladleful, noun."
ladles,verb,"serve (soup, stew, or sauce) with a ladle."
ladles,noun,"a large long-handled spoon with a cup-shaped bowl, used for serving soup or sauce."
ladling,verb,"serve (soup, stew, or sauce) with a ladle."
ladrone,noun,a highwayman or pirate in Spain or Spanish America.
ladrons,,"<b>Definition</b> of LADRONE. 1. usually ladrone chiefly Scottish : blackguard, rogue. usually <b>ladron</b> [Spanish <b>ladrÃ³n</b>, from Latin latron-, latro] Southwest : thief, robber."
laetrile,noun,"a compound extracted from peach stones, formerly used controversially to treat cancer."
lag,verb,fail to keep up with another or others in movement or development.
lager,noun,a kind of effervescent beer which is light in colour and body.
lagers,noun,a kind of effervescent beer which is light in colour and body.
laggard,noun,a person who makes slow progress and falls behind others.
laggard,adjective,slower than desired or expected.
laggardly,,<b>Definition</b> of <b>LAGGARD</b>. : lagging or tending to lag : dilatory. â lagÂ·gardÂ·ly adverb or adjective. â lagÂ·gardÂ·ness noun. See <b>laggard defined</b> for kids.
laggardness,,<b>Definition</b> of LAGGARD. : lagging or tending to lag : dilatory. â lagÂ·gardÂ·ly adverb or adjective. â lagÂ·gardÂ·ness noun.
laggards,noun,a person who makes slow progress and falls behind others.
lagged,adjective,showing a delayed effect.
lagger,,"Synonyms and Antonyms of <b>LAGGER</b>. someone who moves slowly or more slowly than others &lt;after 10 hours, there weren't any spectators left to cheer on the <b>laggers</b> as they finished the marathon&gt; Synonyms crawler, dallier, dawdler, dragger, laggard, <b>lagger</b>, lingerer, loiterer, plodder, snail, straggler."
